Question,Equation,Answer,Numbers
X = number0 . C = number1 . J = number2 . X * number3 * number4 + C = E . E ?,+ * * number0 number3 number4 number1,2713,30 793 173 2 32
F = number0 . P = number1 . N = number2 . V = number3 . ( O - P ) / V / F = N . O ?,+ * * number2 number0 number3 number1,140,2 356 36.0 -3
K = number0 . M = number1 . I = number2 . T = number3 . J = number4 . number5 / O / M / J = K . O ?,/ number5 * * number0 number4 number1,2,2.0 112 255 869 4 1792
P = number0 . X = number1 . O = number2 . ( P - I ) / number3 / O = X . I ?,- number0 * * number1 number2 number3,69,17 2.0 2 -13
G = number0 . D = number1 . O = number2 . Y - G = O . Y ?,+ number2 number0,91,88 489 3
Y = number0 . O = number1 . E = number2 . ( B + E ) * number3 = Y . B ?,- / number0 number3 number2,24,4473 842 47 63
R = number0 . V = number1 . Q = number2 . D = number3 . number4 + O - Q = R . O ?,- + number0 number2 number4,82,324 82 81 270 323
X = number0 . Z + X = number1 . Z ?,- number1 number0,350,89 439
U = number0 . M = number1 . C = number2 . D = number3 . Y = number4 . E = number5 . C + Y - E + V = D . V ?,- number3 - + number2 number4 number5,318,670 133 75 410 45 28
B = number0 . Z = number1 . I = number2 . D = number3 . C = number4 . D - I + L + C = Z . L ?,- - number1 number4 - number3 number2,846,990 2094 52 474 826
E = number0 . H = number1 . X = number2 . L = number3 . X - number4 - E + H = Q . Q ?,+ - - number2 number4 number0 number1,299,224 255 629 567 361
Z = number0 . V = number1 . J = number2 . N = number3 . U = number4 . J - U + number5 + T = V . T ?,- number1 + - number2 number4 number5,426,430 1827 1301 932 340 440
Q = number0 . K = number1 . G = number2 . R = number3 . Q * B / R - K = G . B ?,/ * + number2 number1 number3 number0,33,51 73 26.0 17
H = number0 . D = number1 . R = number2 . N = number3 . N + F - D = R . F ?,- + number2 number1 number3,573,8 25 550 2
F = number0 . K = number1 . M = number2 . Q = number3 . J = number4 . G / number5 / J = Q . G ?,* * number3 number4 number5,234,147 433 224 9.0 2 13
X = number0 . I = number1 . K = number2 . K * number3 + Y = I . Y ?,- number1 * number2 number3,1334,454 3219 65 29
D = number0 . T = number1 . ( S + number2 ) * number3 = T . S ?,- / number1 number3 number2,911,446 5300 149 5
R = number0 . G = number1 . H = number2 . K = number3 . Y = number4 . I + Y = number5 . I ?,- number5 number4,88,160 299 574 551 736 824
M = number0 . Z = number1 . K = number2 . N = number3 . number4 - K - H - M = N . H ?,- - number4 number2 + number3 number0,22,86 845 49 211 368
O = number0 . B = number1 . J = number2 . L = number3 . I = number4 . T = number5 . O * P * L = I . P ?,/ / number4 number3 number0,87,3 232 284 5 1305 541
S = number0 . H = number1 . I = number2 . X = number3 . U = number4 . V = number5 . ( I - D + V ) * H = U . D ?,- number2 - / number4 number1 number5,5,549 74 48 740 6808 49
C = number0 . R = number1 . I = number2 . Y = number3 . ( U + Y ) * R = I . U ?,- / number2 number1 number3,527,906 15 9120 81
T = number0 . M = number1 . M / D / number2 / T = number3 . D ?,/ number1 * * number3 number0 number2,13,2 390 3 5.0
S = number0 . V = number1 . B = number2 . Y = number3 . P = number4 . ( S - O ) / number5 * P = Y . O ?,- number0 * / number3 number4 number5,3,96 482 18 930.0 30 3
W = number0 . O = number1 . Q = number2 . F = number3 . Q / S * F = W . S ?,/ number2 / number0 number3,3,9432.0 746 393 72
L = number0 . N = number1 . F = number2 . number3 / number4 / L * M = number5 . M ?,/ number5 / / number3 number4 number0,18,3 680 949 306 3 612.0
V = number0 . S = number1 . W = number2 . W / T + S - number3 = number4 . T ?,/ number2 - + number4 number3 number1,2,272 50 976 8 530.0
E = number0 . M = number1 . number2 + number3 + E + O = number4 . O ?,- number4 + + number2 number3 number0,85,966 552 75 164 1290
F = number0 . K = number1 . D = number2 . S = number3 . U = number4 . ( D + F ) / K = E . E ?,/ + number2 number0 number1,607.0,984 2 230 228 75
T = number0 . W = number1 . Y = number2 . J = number3 . U = number4 . R = number5 . J - T - G = W . G ?,- - number3 number0 number1,39,84 253 223 376 950 542
R = number0 . U = number1 . Z = number2 . G = number3 . Y = number4 . L + U = R . L ?,- number0 number1,9,75 66 836 489 646
N = number0 . U = number1 . G = number2 . I = number3 . T = number4 . ( I - S + G ) * U = N . S ?,- number3 - / number0 number1 number2,92,6576 16 425 78 111
T = number0 . L = number1 . M = number2 . F = number3 . W = number4 . N = number5 . U * T + W = L . U ?,/ - number1 number4 number0,310,10 3333 985 537 233 869
M = number0 . T = number1 . M - T = O . O ?,- number0 number1,17,32 15
I = number0 . M = number1 . H = number2 . Y = number3 . L = number4 . L / I - H + M = O . O ?,+ - / number4 number0 number2 number1,184.0,2 269 98 518 26
I = number0 . T = number1 . N - T = I . N ?,+ number0 number1,67,38 29
I = number0 . O = number1 . O - number2 - number3 + M = number4 . M ?,- number4 - - number1 number2 number3,70,886 1346 42 65 1309
L = number0 . E = number1 . Q + E + L = number2 . Q ?,- - number2 number0 number1,63,35 89 187
E = number0 . M = number1 . X = number2 . U = number3 . Z - X - E - number4 = M . Z ?,+ + + number1 number4 number0 number2,1327,390 794 48 335 95
K = number0 . E = number1 . J = number2 . B + E = K . B ?,- number0 number1,7,9 2 159
Y = number0 . P = number1 . H = number2 . L = number3 . ( E - L + P ) * Y = H . E ?,+ - / number2 number0 number1 number3,88,12 199 2472 81
Z = number0 . K = number1 . W = number2 . E = number3 . ( W + number4 + H ) * number5 = Z . H ?,- / number0 number5 + number2 number4,80,3672 753 1468 15 288 2
Q = number0 . X = number1 . X * number2 - Q + T = number3 . T ?,- number3 - * number1 number2 number0,387,2 212 27 6109
G = number0 . S = number1 . S - G - Z = number2 . Z ?,- - number1 number0 number2,6,200 306 100
U = number0 . T - number1 = U . T ?,+ number0 number1,75,62 13
W = number0 . X = number1 . L = number2 . H = number3 . V = number4 . B = number5 . ( V + H + W ) / X = O . O ?,/ + + number4 number3 number0 number1,29.0,1424 59 395 285 2 229
J = number0 . G = number1 . M = number2 . X = number3 . R = number4 . L = number5 . X * Q / J = G . Q ?,/ * number1 number0 number3,74,50 148.0 297 100 946 355
D = number0 . X = number1 . L = number2 . G = number3 . T = number4 . F / T - D = L . F ?,* + number2 number0 number4,662,74 66 257.0 325 2
X = number0 . K = number1 . G = number2 . R = number3 . B = number4 . P = number5 . F - X - K = B . F ?,+ + number4 number1 number0,1743,1679 11 424 590 53 616
R = number0 . Q = number1 . O = number2 . ( Q + number3 ) / V = R . V ?,/ + number1 number3 number0,4,154.0 319 177 297
O = number0 . G = number1 . T = number2 . J = number3 . D = number4 . ( P + G + T ) / O = D . P ?,- - * number4 number0 number2 number1,40,7 85 71 518 28.0
H = number0 . G = number1 . K = number2 . Q = number3 . U = number4 . ( number5 - X - K ) * Q = G . X ?,- number5 + / number1 number3 number2,1459,998 6953 9 17 492 1877
S = number0 . P = number1 . X = number2 . W = number3 . Q = number4 . Q / P / T * S = number5 . T ?,/ / number4 number1 / number5 number0,2,20 35 628 547 140 40.0
H + number0 = number1 . H ?,- number1 number0,84,8 92
R = number0 . D = number1 . T = number2 . ( F + D ) / number3 = T . F ?,- * number2 number3 number1,978,542 36 6.0 169
U = number0 . P = number1 . R = number2 . N = number3 . ( R + P ) / U * C = N . C ?,/ number3 / + number2 number1 number0,89,7 203 56 3293.0
Q = number0 . F = number1 . L = number2 . K = number3 . K * F - Q + L = S . S ?,+ - * number3 number1 number0 number2,1777,21 3 85 571
N = number0 . H = number1 . M = number2 . M * H = C . C ?,* number2 number1,2697,704 3 899
P = number0 . F = number1 . K = number2 . C = number3 . I / F * number4 / P = C . I ?,* / * number3 number0 number4 number1,134,1541 2 866 2.0 46
V = number0 . Z = number1 . U = number2 . F = number3 . F * U + Z - T = V . T ?,- + * number3 number2 number1 number0,59,4385 78 37 118
L = number0 . X = number1 . V = number2 . F = number3 . G = number4 . S + X - L - number5 = F . S ?,- + + number3 number5 number0 number1,125,45 357 677 368 715 69
B = number0 . E = number1 . M = number2 . V = number3 . ( M - S ) / E - B = V . S ?,- number2 * + number3 number0 number1,98,2 -1 37 59.0
P = number0 . J = number1 . N = number2 . ( N - P ) / Z + number3 = number4 . Z ?,/ - number2 number0 - number4 number3,3,93 573 54 171 158.0
C = number0 . G = number1 . M = number2 . Z = number3 . ( P / Z + C ) * M = G . P ?,* - / number1 number2 number0 number3,99,115 1332.0 9 3
J = number0 . T = number1 . C = number2 . W = number3 . ( C * T + J ) * W = U . U ?,* + * number2 number1 number0 number3,3848,1486 6 73 2
P = number0 . S = number1 . N = number2 . K = number3 . J * N - number4 - P = S . J ?,/ + + number1 number0 number4 number2,384,33 3398 9 713 25
P = number0 . B = number1 . O = number2 . N = number3 . R = number4 . P + G = B . G ?,- number1 number0,48,30 78 964 154 289
O = number0 . R = number1 . U = number2 . Y = number3 . Z = number4 . S = number5 . Z + P + S = O . P ?,- - number0 number5 number4,70,1656 714 60 186 1450 136
Z = number0 . P = number1 . R = number2 . R / M / number3 = number4 . M ?,/ number2 * number4 number3,2,50 86 292 73 2.0
J = number0 . N = number1 . Q = number2 . Z = number3 . ( N - number4 ) / S + Z = Q . S ?,/ - number1 number4 - number2 number3,2,125 73 193.0 167 21
U = number0 . R = number1 . F = number2 . E = number3 . ( U + E ) * K = R . K ?,/ number1 + number0 number3,31,42 3627 461 75
P = number0 . F = number1 . Q = number2 . W = number3 . T = number4 . W * P / Q * F = U . U ?,* / * number3 number0 number2 number1,3075.0,55 41 11 15 476
Q = number0 . O = number1 . H = number2 . X = number3 . P * X + H = Q . P ?,/ - number0 number2 number3,130,7348 26 1108 48
U = number0 . D = number1 . C = number2 . D * U + J = number3 . J ?,- number3 * number1 number0,1108,48 130 26 7348
C = number0 . B = number1 . T = number2 . S / B * T = C . S ?,* / number0 number2 number1,116,812.0 2 14
J = number0 . C = number1 . N = number2 . F = number3 . D = number4 . Y * N * J + C = number5 . Y ?,/ / - number5 number1 number0 number2,13,16 450 40 938 348 8770
E = number0 . S = number1 . V = number2 . Q = number3 . K = number4 . G = number5 . Q * S + G - V = U . U ?,- + * number3 number1 number5 number2,7482,152 8 64 943 191 2
J = number0 . E = number1 . H = number2 . number3 / J + H + E = M . M ?,+ + / number3 number0 number2 number1,86.0,43 45 39 86
G = number0 . X = number1 . M = number2 . H = number3 . K = number4 . K * number5 / M * H = V . V ?,* / * number4 number5 number2 number3,1806.0,650 594 1311 21 1311 86
D = number0 . L = number1 . X = number2 . O = number3 . number4 - E = X . E ?,- number4 number2,116,319 485 48 891 164
B = number0 . U = number1 . W = number2 . Q = number3 . ( D * B - W ) / U = Q . D ?,/ + * number3 number1 number2 number0,691,17 4 19 2932.0
R = number0 . N = number1 . H = number2 . P = number3 . N * number4 - D - number5 = R . D ?,- * number1 number4 + number0 number5,11,1511 45 488 732 36 98
M = number0 . L = number1 . N = number2 . H = number3 . X = number4 . Q = number5 . ( H - N + X ) / B = M . B ?,/ + - number3 number2 number4 number0,35,2.0 379 20 60 30 748
D = number0 . O = number1 . J = number2 . Y = number3 . U = number4 . U + S + O = Y . S ?,- - number3 number1 number4,342,424 1567 13 1911 2
S = number0 . M = number1 . Y = number2 . Q = number3 . E + Q - M = Y . E ?,- + number2 number1 number3,335,667 11 421 97
O = number0 . M = number1 . U = number2 . F = number3 . ( J - O ) * M = U . J ?,+ / number2 number1 number0,345,2 21 7203 193
H = number0 . L = number1 . V = number2 . U = number3 . Z = number4 . V / L / R - Z = H . R ?,/ / number2 number1 + number0 number4,2,62.0 7 1582 594 51
V = number0 . R = number1 . U = number2 . D = number3 . N = number4 . V - W + N = D . W ?,- number0 - number3 number4,3,31 361 61 131 103
C = number0 . S = number1 . O = number2 . K = number3 . ( K * S - I ) * O = C . I ?,- * number3 number1 / number0 number2,55,6292 2 44 99
W = number0 . B = number1 . J = number2 . Y = number3 . number4 * Y / J + D = W . D ?,- number0 / * number4 number3 number2,61,96.0 498 343 49 245
R = number0 . Q = number1 . S = number2 . K = number3 . X = number4 . Q + X - R = P . P ?,- + number1 number4 number0,263,48 219 548 150 92
Z = number0 . E = number1 . F = number2 . number3 * D * number4 - E = number5 . D ?,/ / + number5 number1 number4 number3,78,592 20 360 26 4 8092
B = number0 . C = number1 . U = number2 . ( number3 * C - B ) / R = U . R ?,/ - * number3 number1 number0 number2,5,60 90 5874.0 327
T = number0 . O = number1 . N = number2 . T * O * Z = N . Z ?,/ number2 * number0 number1,12,53 5 3180
K = number0 . X = number1 . F = number2 . ( F + X ) * number3 + J = K . J ?,- number0 * + number2 number1 number3,157,3773 76 37 32
Y = number0 . M = number1 . N = number2 . M / D * N = Y . D ?,/ number1 / number0 number2,4,200.0 20 40
B = number0 . number1 / B + F = number2 . F ?,- number2 / number1 number0,83,39 1521 122.0
M = number0 . D = number1 . C = number2 . X = number3 . N = number4 . ( X / N + D ) / M = T . T ?,/ + / number3 number4 number1 number0,43.0,3 124 429 265 53
S = number0 . I = number1 . C = number2 . Q = number3 . W = number4 . E = number5 . ( C * S + W ) / B = I . B ?,/ + * number2 number0 number4 number1,60,61 70.0 66 255 174 702
C = number0 . H = number1 . W * number2 - number3 = C . W ?,/ + number0 number3 number2,106,2305 135 22 27
R = number0 . I = number1 . C = number2 . Y = number3 . D * C * R + I = Y . D ?,/ / - number3 number1 number0 number2,13,62 394 6 5230
C = number0 . M = number1 . C * M = H . H ?,* number0 number1,4214,98 43
G = number0 . K = number1 . H = number2 . U = number3 . I = number4 . E = number5 . H / U / E * J = K . J ?,/ number1 / / number2 number3 number5,2,935 412.0 824 2 640 2
E = number0 . P = number1 . R = number2 . W = number3 . K / number4 / P = number5 . K ?,* * number5 number1 number4,198,32 3 370 90 6 11.0
K = number0 . G = number1 . F = number2 . ( L - number3 ) * F = K . L ?,+ / number0 number2 number3,89,2436 756 42 31
R = number0 . G = number1 . N = number2 . L = number3 . X = number4 . D = number5 . D * O * R + L = X . O ?,/ / - number4 number3 number0 number5,48,10 573 255 7 6727 14
J = number0 . O = number1 . ( number2 - S ) / O - number3 = J . S ?,- number2 * + number0 number3 number1,683,131.0 2 951 3
H = number0 . K = number1 . S = number2 . N = number3 . H * Z + S + N = K . Z ?,/ - - number1 number3 number2 number0,28,2 290 94 140
B = number0 . C = number1 . T = number2 . K = number3 . Q = number4 . B * C / T + Q = U . U ?,+ / * number0 number1 number2 number4,377.0,396 73 803 726 341
J = number0 . S = number1 . B = number2 . H = number3 . M = number4 . Q - J - S = B . Q ?,+ + number2 number1 number0,1305,1045 61 199 857 692
S = number0 . T = number1 . C = number2 . W = number3 . ( L / number4 - W ) / S = T . L ?,* + * number1 number0 number3 number4,18,-15 3.0 272 48 6
C = number0 . Q = number1 . L = number2 . Y = number3 . F = number4 . D = number5 . ( F * S + Q ) / L = D . S ?,/ - * number5 number2 number1 number4,25,101 1869 1493 372 1896 33.0
D = number0 . L = number1 . R = number2 . M = number3 . E = number4 . E / number5 / J + M = L . J ?,/ / number4 number5 - number1 number3,8,86 57.0 849 48 504 7
D = number0 . N = number1 . B = number2 . V = number3 . S = number4 . L = number5 . N - V + E - L = D . E ?,- + number0 number5 - number1 number3,1526,1802 1394 5 89 874 1029
W = number0 . T = number1 . U = number2 . V = number3 . ( W - M ) / number4 = U . M ?,- number0 * number2 number4,52,49 156 3.0 576 -1
K = number0 . Z = number1 . T = number2 . J = number3 . H - K - T = J . H ?,+ + number3 number2 number0,78,37 179 34 7
B = number0 . F = number1 . E = number2 . K = number3 . F * B + E + K = D . D ?,+ + * number1 number0 number2 number3,290,28 2 94 140
S = number0 . L = number1 . P - L = S . P ?,+ number0 number1,585,472 113
G = number0 . K = number1 . Z = number2 . M = number3 . X = number4 . G * X / M - Z = H . H ?,- / * number0 number4 number3 number2,87.0,219 52 59 48 32
D = number0 . J = number1 . H = number2 . E = number3 . ( E + D ) / H = Q . Q ?,/ + number3 number0 number2,9.0,327 977 75 348
